order_id,user_id,product_id,order_date,quantity,unit_price,total_amount,payment_method,status,city,is_anomaly
O000001,U00444,P00025,2025-07-03 00:31:00,3,548.1,1644.3000000000002,支付宝,已完成,成都,
O000001,U00444,P00050,2025-07-03 00:31:00,2,89.34,178.68,支付宝,已完成,成都,
O000002,U00251,P00098,2025-03-27 02:36:00,1,976.58,976.58,银行卡,已完成,重庆,
O000003,U00148,P00071,2025-03-28 14:36:00,3,87.05,261.15,支付宝,已完成,成都,
O000003,U00148,P00066,2025-03-28 14:36:00,1,668.53,668.53,支付宝,已完成,成都,
O000003,U00148,P00015,2025-03-28 14:36:00,2,869.05,1738.1,银行卡,已完成,成都,
O000003,U00148,P00074,2025-03-28 14:36:00,2,664.13,1328.26,微信支付,已完成,成都,
O000004,U00231,P00057,2025-05-15 11:55:00,1,263.58,263.58,微信支付,已完成,成都,
O000005,U00108,P00091,2026-02-20 23:37:00,3,569.59,1708.77,微信支付,已完成,深圳,
O000005,U00108,P00079,2026-02-20 23:37:00,1,546.78,546.78,银行卡,已完成,深圳,
O000005,U00108,P00081,2026-02-20 23:37:00,3,174.49,523.47,银行卡,已完成,深圳,
O000006,U00150,P00087,2025-05-29 18:17:00,2,515.2,1030.4,微信支付,已完成,西安,
O000006,U00150,P00013,2025-05-29 18:17:00,1,585.71,585.71,银行卡,已完成,西安,
O000006,U00150,P00018,2025-05-29 18:17:00,1,642.18,642.18,银行卡,已完成,西安,
O000006,U00150,P00097,2025-05-29 18:17:00,1,974.26,974.26,支付宝,已完成,西安,
O000006,U00150,P00053,2025-05-29 18:17:00,2,206.5,413.0,银行卡,已完成,西安,
O000007,U00407,P00096,2026-03-27 02:25:00,2,366.51,733.02,银行卡,已完成,深圳,
O000007,U00407,P00036,2026-03-27 02:25:00,2,616.69,1233.38,银行卡,已完成,深圳,
O000007,U00407,P00089,2026-03-27 02:25:00,1,23.37,23.37,支付宝,已完成,深圳,
O000007,U00407,P00048,2026-03-27 02:25:00,2,245.41,490.82,支付宝,已完成,深圳,
O000007,U00407,P00059,2026-03-27 02:25:00,2,454.17,908.34,银行卡,已完成,深圳,
O000008,U00067,P00088,2025-10-17 15:50:00,50,21.61,1080.5,微信支付,已完成,深圳,1.0
O000008,U00067,P00098,2025-10-17 15:50:00,1,976.58,976.58,微信支付,已完成,深圳,
O000008,U00067,P00007,2025-10-17 15:50:00,2,763.53,1527.06,银行卡,已完成,深圳,
O000009,U00466,P00036,2025-03-09 20:19:00,2,616.69,1233.38,银行卡,已完成,武汉,
O000009,U00466,P00012,2025-03-09 20:19:00,1,560.9,560.9,银行卡,已完成,武汉,
O000010,U00157,P00055,2026-01-07 22:48:00,1,679.8,679.8,支付宝,已完成,深圳,
O000010,U00157,P00084,2026-01-07 22:48:00,3,940.05,2820.1499999999996,银行卡,已完成,深圳,
O000011,U00228,P00016,2025-01-05 00:44:00,1,179.3,179.3,微信支付,已完成,武汉,
O000011,U00228,P00055,2025-01-05 00:44:00,1,679.8,679.8,支付宝,已完成,武汉,
O000011,U00228,P00089,2025-01-05 00:44:00,1,23.37,23.37,微信支付,已完成,武汉,
O000012,U00329,P00073,2025-12-13 04:04:00,3,587.24,1761.72,银行卡,已完成,成都,
O000012,U00329,P00002,2025-12-13 04:04:00,2,741.64,1483.28,支付宝,已完成,成都,
O000012,U00329,P00079,2025-12-13 04:04:00,1,546.78,546.78,微信支付,已完成,成都,
O000012,U00329,P00084,2025-12-13 04:04:00,3,940.05,2820.1499999999996,支付宝,已完成,成都,
O000012,U00329,P00022,2025-12-13 04:04:00,2,282.29,564.58,微信支付,已完成,成都,
O000013,U00142,P00077,2025-11-27 02:15:00,1,329.75,329.75,银行卡,已完成,杭州,
O000013,U00142,P00093,2025-11-27 02:15:00,1,165.03,165.03,银行卡,已完成,杭州,
O000013,U00142,P00078,2025-11-27 02:15:00,2,469.02,938.04,微信支付,已完成,杭州,
O000013,U00142,P00037,2025-11-27 02:15:00,1,548.49,548.49,,已完成,杭州,
O000013,U00142,P00100,2025-11-27 02:15:00,3,806.09,2418.27,银行卡,已完成,杭州,
O000014,U00456,P00017,2025-01-07 11:59:00,3,707.68,2123.04,支付宝,已完成,南京,
O000014,U00456,P00050,2025-01-07 11:59:00,1,89.34,89.34,微信支付,已完成,南京,
O000014,U00456,P00073,2025-01-07 11:59:00,23,96.02,2208.46,支付宝,已完成,南京,1.0
O000015,U00260,P00099,2025-05-27 20:45:00,3,195.67,587.01,微信支付,已完成,西安,
O000015,U00260,P00054,2025-05-27 20:45:00,2,435.01,870.02,微信支付,已完成,西安,
O000015,U00260,P00055,2025-05-27 20:45:00,1,679.8,679.8,支付宝,已完成,西安,
O000015,U00260,P00090,2025-05-27 20:45:00,3,178.25,534.75,微信支付,已完成,西安,
O000015,U00260,P00052,2025-05-27 20:45:00,2,483.12,966.24,微信支付,已完成,西安,
O000016,U00030,P00015,2025-05-06 02:59:00,3,869.05,2607.1499999999996,,已完成,杭州,
O000016,U00030,P00059,2025-05-06 02:59:00,1,454.17,454.17,银行卡,已完成,杭州,
O000016,U00030,P00079,2025-05-06 02:59:00,41,4.7,192.70000000000002,银行卡,已完成,杭州,1.0
O000016,U00030,P00078,2025-05-06 02:59:00,2,469.02,938.04,支付宝,已完成,杭州,
O000017,U00376,P00043,2026-03-30 03:49:00,2,181.72,363.44,支付宝,已完成,成都,
O000018,U00365,P00059,2025-10-23 20:04:00,3,454.17,1362.51,微信支付,已完成,成都,
O000018,U00365,P00066,2025-10-23 20:04:00,1,668.53,668.53,银行卡,已完成,成都,
O000018,U00365,P00047,2025-10-23 20:04:00,1,240.1,240.1,微信支付,已完成,成都,
O000018,U00365,P00008,2025-10-23 20:04:00,10,75.54,755.4000000000001,支付宝,已完成,成都,
O000019,U00472,P00071,2025-03-18 05:59:00,3,87.05,261.15,支付宝,已完成,重庆,
O000020,U00115,P00035,2025-06-14 07:26:00,3,873.01,2619.0299999999997,微信支付,已完成,西安,
O000020,U00115,P00010,2025-06-14 07:26:00,3,611.55,1834.6499999999999,支付宝,退款中,西安,
O000020,U00115,P00074,2025-06-14 07:26:00,2,664.13,1328.26,支付宝,已完成,西安,
O000021,U00168,P00048,2025-02-14 17:29:00,3,245.41,736.23,银行卡,已完成,上海,
O000022,U00319,P00064,2025-05-05 14:23:00,1,279.8,279.8,支付宝,已完成,南京,
O000022,U00319,P00099,2025-05-05 14:23:00,44,65.36,2875.84,微信支付,已完成,南京,1.0
O000022,U00319,P00100,2025-05-05 14:23:00,1,806.09,806.09,支付宝,已完成,南京,
O000022,U00319,P00026,2025-05-05 14:23:00,3,411.31,1233.93,微信支付,已完成,南京,
O000022,U00319,P00094,2025-05-05 14:23:00,1,900.9,900.9,微信支付,已完成,南京,
O000023,U00498,P00006,2025-03-14 22:17:00,3,460.12,1380.3600000000001,支付宝,已完成,武汉,
O000024,U00235,P00065,2026-01-18 02:37:00,2,434.45,868.9,银行卡,已完成,成都,
O000025,U00032,P00038,2025-08-11 21:08:00,2,606.87,1213.74,银行卡,已完成,深圳,
