user_id,username,gender,age,city,user_level,registration_date
U00001,用户1,F,28,上海,普通,2025-03-05
U00002,用户2,F,32,深圳,金卡,2025-01-10
U00003,用户3,F,37,深圳,普通,2025-04-28
U00004,用户4,M,43,成都,普通,2025-06-18
U00005,用户5,F,40,南京,普通,2025-01-18
U00006,用户6,F,19,上海,金卡,2025-05-18
U00007,用户7,M,55,杭州,普通,2025-03-08
U00008,用户8,F,40,成都,普通,2025-06-02
U00009,用户9,M,42,重庆,普通,2025-05-11
U00010,用户10,F,18,南京,金卡,2025-01-12
U00011,用户11,M,41,武汉,普通,2025-05-18
U00012,用户12,F,57,成都,银卡,2025-06-20
U00013,用户13,F,50,杭州,银卡,2025-02-01
U00014,用户14,F,36,南京,普通,2025-03-25
U00015,用户15,F,29,重庆,银卡,2025-04-18
U00016,用户16,M,37,杭州,普通,2025-04-14
U00017,用户17,F,47,西安,普通,2025-05-29
U00018,用户18,F,28,上海,普通,2025-02-24
U00019,用户19,F,23,深圳,银卡,2025-06-19
U00020,用户20,M,27,北京,普通,2025-02-27
U00021,用户21,M,47,武汉,金卡,2025-05-02
U00022,用户22,M,42,西安,普通,2025-05-28
U00023,用户23,M,24,武汉,普通,2025-02-07
U00024,用户24,F,21,南京,普通,2025-06-28
U00025,用户25,F,26,西安,银卡,2025-02-01
U00026,用户26,F,46,重庆,金卡,2025-05-24
U00027,用户27,F,53,西安,金卡,2025-05-10
U00028,用户28,F,46,杭州,银卡,2025-07-10
U00029,用户29,F,51,西安,银卡,2025-06-13
U00030,用户30,F,22,杭州,普通,2025-03-12
U00031,用户31,F,52,上海,普通,2025-03-27
U00032,用户32,F,27,深圳,普通,2025-03-01
U00033,用户33,F,52,西安,普通,2025-04-15
U00034,用户34,F,42,重庆,金卡,2025-02-22
U00035,用户35,F,48,北京,金卡,2025-01-06
U00036,用户36,F,44,南京,银卡,2025-03-18
U00037,用户37,M,49,深圳,普通,2025-05-20
U00038,用户38,M,42,成都,银卡,2025-05-05
U00039,用户39,M,47,广州,钻石,2025-04-14
U00040,用户40,M,43,重庆,银卡,2025-05-17
U00041,用户41,M,59,武汉,普通,2025-01-07
U00042,用户42,M,21,杭州,普通,2025-04-29
U00043,用户43,F,38,成都,银卡,2025-02-24
U00044,用户44,F,44,杭州,金卡,2025-04-08
U00045,用户45,M,52,北京,钻石,2025-05-01
U00046,用户46,M,59,上海,银卡,2025-03-31
U00047,用户47,M,19,深圳,普通,2025-06-16
U00048,用户48,M,33,广州,普通,2025-01-06
U00049,用户49,M,47,杭州,银卡,2025-01-30
U00050,用户50,M,28,杭州,普通,2025-02-12
U00051,用户51,F,54,武汉,普通,2025-01-07
U00052,用户52,M,22,重庆,银卡,2025-07-03
U00053,用户53,M,24,杭州,金卡,2025-06-10
U00054,用户54,M,54,北京,普通,2025-06-03
U00055,用户55,F,22,南京,银卡,2025-04-20
U00056,用户56,F,49,上海,普通,2025-01-04
U00057,用户57,F,27,武汉,普通,2025-04-03
U00058,用户58,F,57,南京,银卡,2025-05-14
U00059,用户59,F,55,杭州,普通,2025-04-30
U00060,用户60,M,35,西安,普通,2025-03-04
U00061,用户61,F,39,北京,普通,2025-04-29
U00062,用户62,M,49,深圳,普通,2025-03-25
U00063,用户63,F,35,重庆,银卡,2025-03-08
U00064,用户64,M,51,深圳,普通,2025-03-12
U00065,用户65,F,49,南京,银卡,2025-07-04
U00066,用户66,F,59,西安,普通,2025-06-26
U00067,用户67,M,36,深圳,普通,2025-01-05
U00068,用户68,F,60,重庆,普通,2025-03-04
U00069,用户69,F,45,南京,普通,2025-05-22
U00070,用户70,F,35,杭州,普通,2025-06-29
U00071,用户71,M,38,上海,银卡,2025-01-31
U00072,用户72,M,30,深圳,银卡,2025-07-15
U00073,用户73,F,24,深圳,普通,2025-03-12
U00074,用户74,M,37,北京,银卡,2025-04-03
U00075,用户75,F,20,北京,银卡,2025-02-02
U00076,用户76,M,58,西安,普通,2025-06-28
U00077,用户77,F,48,西安,普通,2025-01-04
U00078,用户78,M,34,西安,普通,2025-02-17
U00079,用户79,F,49,上海,银卡,2025-01-17
U00080,用户80,M,27,广州,金卡,2025-06-25
U00081,用户81,M,33,上海,银卡,2025-03-19
U00082,用户82,M,51,武汉,普通,2025-04-17
U00083,用户83,F,55,武汉,普通,2025-04-24
U00084,用户84,M,57,上海,金卡,2025-06-08
U00085,用户85,M,34,上海,普通,2025-02-23
U00086,用户86,M,28,北京,普通,2025-02-14
U00087,用户87,F,36,北京,普通,2025-06-26
U00088,用户88,F,47,上海,银卡,2025-06-30
U00089,用户89,M,45,上海,银卡,2025-03-09
U00090,用户90,M,35,广州,普通,2025-06-15
U00091,用户91,F,56,重庆,金卡,2025-02-12
U00092,用户92,M,47,杭州,银卡,2025-04-23
U00093,用户93,F,46,上海,银卡,2025-03-11
U00094,用户94,F,56,杭州,普通,2025-04-21
U00095,用户95,M,35,重庆,普通,2025-02-28
